"","X_worker_id","X_trust","score","X_channel","X_country","X_region","X_city","X_ip","treatment","received_compliance_q","assigned","complied","treated","pct_score"
"1",11075499,0.2,0.2,"neodev","VEN","","","190.78.61.29","evaluation",0,1,0,0,20
"2",11582908,0.8333,0.8,"clixsense","SRB","00","Belgrade","93.86.237.192","evaluation",1,1,1,1,80
"3",11582908,1,0.6,"clixsense","SRB","","","178.220.88.15","publicgood",1,1,0,0,60
"4",16561726,1,1,"clixsense","","","","185.250.67.45","evaluation",0,1,0,0,100
"5",16712241,1,1,"clixsense","VEN","25","Caracas","190.72.145.5","publicgood",0,1,0,0,100
"6",16712241,1,0.96,"clixsense","VEN","25","Caracas","190.72.145.5","evaluation",1,1,1,1,96
"7",19638651,1,0.75,"clixsense","USA","SC","Murrells Inlet","98.122.122.239","publicgood",0,1,0,0,75
"8",21547955,1,1,"clixsense","BRA","26","Palhoca","170.254.84.1","control",0,0,0,0,100
"9",28786138,1,1,"clixsense","MKD","E3","Prilep","92.53.55.211","evaluation",0,1,0,0,100
"10",28863630,1,1,"clixsense","IND","02","Hyderabad","115.98.136.238","publicgood",0,1,0,0,100
"11",31298240,0.8,0.8,"neodev","VEN","13","Barquisimeto","200.8.174.243","evaluation",0,1,0,0,80
"12",31649759,1,1,"neodev","VEN","","","201.243.179.176","control",0,0,0,0,100
"13",31649759,1,1,"neodev","VEN","20","San Cristóbal","186.94.140.114","publicgood",0,1,0,0,100
"14",32108646,1,0.733333333333333,"clixsense","UKR","17","Odessa","91.203.138.8","evaluation",1,1,0,0,73.3333333333333
"15",32108646,1,1,"clixsense","UKR","17","Odessa","91.203.138.8","publicgood",0,1,0,0,100
"16",32254876,1,1,"neodev","SLV","05","Santa Tecla","179.5.196.115","publicgood",0,1,0,0,100
"17",32655193,1,1,"clixsense","SRB","02","Subotica","85.222.190.175","evaluation",0,1,0,0,100
"18",35354906,1,1,"clixsense","ITA","16","Livorno","93.32.77.133","publicgood",0,1,0,0,100
"19",35376158,1,0.8,"clixsense","COL","","","190.67.134.139","evaluation",1,1,1,1,80
"20",35747808,1,1,"clixsense","VEN","","","200.109.200.231","control",1,0,1,0,100
"21",36143603,1,1,"eup_slw","TUR","","","176.88.198.138","control",1,0,1,0,100
"22",36143603,1,1,"eup_slw","TUR","","","176.88.198.138","publicgood",1,1,1,1,100
"23",36404443,1,1,"clixsense","IND","02","Hyderabad","27.6.128.161","evaluation",0,1,0,0,100
"24",36957773,1,1,"neodev","ARG","05","Cordoba","181.28.7.100","control",1,0,1,0,100
"25",36985538,1,0.85,"neodev","VEN","","","186.93.114.206","control",1,0,1,0,85
