_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,animal_present,animal_present_gold,image_url,label,test_question,answer,treatment,correct
2227505196,4/3/2019 01:22:59,False,4680833042,,4/3/2019 01:22:40,False,clixsense,0.9167,44101988,IND,10,Ladwa,49.32.59.102,yes,,https://i.imgur.com/VgzBIy7.png,Butterfly,0,yes,control,1
2227505196,4/3/2019 01:23:51,False,4680834588,,4/3/2019 01:23:03,False,neodev,1.0,44058261,VEN,,,190.206.195.19,yes,,https://i.imgur.com/VgzBIy7.png,Butterfly,0,yes,control,1
2227505196,4/3/2019 01:23:58,False,4680834744,,4/3/2019 01:22:50,False,neodev,1.0,45131917,VEN,25,Caracas,201.243.196.131,yes,,https://i.imgur.com/VgzBIy7.png,Butterfly,0,yes,control,1
2227505197,4/3/2019 01:22:59,False,4680833043,,4/3/2019 01:22:40,False,clixsense,0.9167,44101988,IND,10,Ladwa,49.32.59.102,yes,,https://i.imgur.com/zDm890X.png,Butterfly,0,yes,control,1
2227505197,4/3/2019 01:23:51,False,4680834592,,4/3/2019 01:23:03,False,neodev,1.0,44058261,VEN,,,190.206.195.19,yes,,https://i.imgur.com/zDm890X.png,Butterfly,0,yes,control,1
2227505197,4/3/2019 01:23:58,False,4680834736,,4/3/2019 01:22:50,False,neodev,1.0,45131917,VEN,25,Caracas,201.243.196.131,yes,,https://i.imgur.com/zDm890X.png,Butterfly,0,yes,control,1
2227505198,4/3/2019 01:22:59,False,4680833047,,4/3/2019 01:22:40,False,clixsense,0.9167,44101988,IND,10,Ladwa,49.32.59.102,yes,,https://i.imgur.com/3IEPNSa.png,Butterfly,0,yes,control,1
2227505198,4/3/2019 01:23:51,False,4680834595,,4/3/2019 01:23:03,False,neodev,1.0,44058261,VEN,,,190.206.195.19,yes,,https://i.imgur.com/3IEPNSa.png,Butterfly,0,yes,control,1
2227505198,4/3/2019 01:23:58,False,4680834733,,4/3/2019 01:22:50,False,neodev,1.0,45131917,VEN,25,Caracas,201.243.196.131,yes,,https://i.imgur.com/3IEPNSa.png,Butterfly,0,yes,control,1
2227505199,4/3/2019 01:22:59,False,4680833041,,4/3/2019 01:22:40,False,clixsense,0.9167,44101988,IND,10,Ladwa,49.32.59.102,yes,,https://i.imgur.com/u9iQNBH.jpg,Butterfly,0,yes,control,1
2227505199,4/3/2019 01:23:51,False,4680834581,,4/3/2019 01:23:03,False,neodev,1.0,44058261,VEN,,,190.206.195.19,yes,,https://i.imgur.com/u9iQNBH.jpg,Butterfly,0,yes,control,1
2227505199,4/3/2019 01:23:58,False,4680834740,,4/3/2019 01:22:50,False,neodev,1.0,45131917,VEN,25,Caracas,201.243.196.131,yes,,https://i.imgur.com/u9iQNBH.jpg,Butterfly,0,yes,control,1
2227505200,4/3/2019 01:23:25,False,4680833692,,4/3/2019 01:23:06,False,neodev,1.0,44681831,VEN,,,201.210.222.106,yes,,https://i.imgur.com/xUQl0w2.png,Butterfly,0,yes,control,1
2227505200,4/3/2019 01:23:59,False,4680834773,,4/3/2019 01:23:02,False,clixsense,0.9167,44101988,IND,10,Ladwa,49.32.59.102,yes,,https://i.imgur.com/xUQl0w2.png,Butterfly,0,yes,control,1
2227505200,4/3/2019 01:26:04,False,4680839012,,4/3/2019 01:23:09,False,neodev,0.9,45186503,VEN,15,Bachaquero,200.93.112.211,yes,,https://i.imgur.com/xUQl0w2.png,Butterfly,0,yes,control,1
2227505201,4/3/2019 01:23:25,False,4680833700,,4/3/2019 01:23:06,False,neodev,1.0,44681831,VEN,,,201.210.222.106,yes,,https://i.imgur.com/Bt8xy7L.png,Butterfly,0,yes,control,1
2227505201,4/3/2019 01:23:59,False,4680834768,,4/3/2019 01:23:02,False,clixsense,0.9167,44101988,IND,10,Ladwa,49.32.59.102,yes,,https://i.imgur.com/Bt8xy7L.png,Butterfly,0,yes,control,1
2227505201,4/3/2019 01:26:04,False,4680839016,,4/3/2019 01:23:09,False,neodev,0.9,45186503,VEN,15,Bachaquero,200.93.112.211,yes,,https://i.imgur.com/Bt8xy7L.png,Butterfly,0,yes,control,1
2227505202,4/3/2019 01:23:25,False,4680833690,,4/3/2019 01:23:06,False,neodev,1.0,44681831,VEN,,,201.210.222.106,yes,,https://i.imgur.com/bMjlOGU.png,Butterfly,0,yes,control,1
2227505202,4/3/2019 01:23:59,False,4680834775,,4/3/2019 01:23:02,False,clixsense,0.9167,44101988,IND,10,Ladwa,49.32.59.102,yes,,https://i.imgur.com/bMjlOGU.png,Butterfly,0,yes,control,1
2227505202,4/3/2019 01:26:04,False,4680839019,,4/3/2019 01:23:09,False,neodev,0.9,45186503,VEN,15,Bachaquero,200.93.112.211,yes,,https://i.imgur.com/bMjlOGU.png,Butterfly,0,yes,control,1
2227505203,4/3/2019 01:23:25,False,4680833695,,4/3/2019 01:23:06,False,neodev,1.0,44681831,VEN,,,201.210.222.106,yes,,https://i.imgur.com/vVwGRM1.png,Butterfly,0,yes,control,1
2227505203,4/3/2019 01:23:59,False,4680834770,,4/3/2019 01:23:02,False,clixsense,0.9167,44101988,IND,10,Ladwa,49.32.59.102,yes,,https://i.imgur.com/vVwGRM1.png,Butterfly,0,yes,control,1
2227505203,4/3/2019 01:26:04,False,4680839023,,4/3/2019 01:23:09,False,neodev,0.9,45186503,VEN,15,Bachaquero,200.93.112.211,yes,,https://i.imgur.com/vVwGRM1.png,Butterfly,0,yes,control,1
2227505204,4/3/2019 01:23:38,False,4680834067,,4/3/2019 01:23:27,False,neodev,1.0,44681831,VEN,,,201.210.222.106,yes,,https://i.imgur.com/jOT5e7K.png,Butterfly,0,yes,control,1
2227505204,4/3/2019 01:24:15,False,4680835397,,4/3/2019 01:23:44,False,feca,1.0,45161091,VEN,,,190.77.44.97,yes,,https://i.imgur.com/jOT5e7K.png,Butterfly,0,yes,control,1
2227505204,4/3/2019 01:25:01,False,4680836863,,4/3/2019 01:23:42,False,neodev,1.0,43650017,VEN,25,Caracas,186.94.206.222,yes,,https://i.imgur.com/jOT5e7K.png,Butterfly,0,yes,control,1
2227505205,4/3/2019 01:23:38,False,4680834066,,4/3/2019 01:23:27,False,neodev,1.0,44681831,VEN,,,201.210.222.106,yes,,https://i.imgur.com/lkfdlp0.png,Butterfly,0,yes,control,1
2227505205,4/3/2019 01:24:15,False,4680835392,,4/3/2019 01:23:44,False,feca,1.0,45161091,VEN,,,190.77.44.97,yes,,https://i.imgur.com/lkfdlp0.png,Butterfly,0,yes,control,1
2227505205,4/3/2019 01:25:01,False,4680836858,,4/3/2019 01:23:42,False,neodev,1.0,43650017,VEN,25,Caracas,186.94.206.222,yes,,https://i.imgur.com/lkfdlp0.png,Butterfly,0,yes,control,1
2227505206,4/3/2019 01:23:38,False,4680834062,,4/3/2019 01:23:27,False,neodev,1.0,44681831,VEN,,,201.210.222.106,yes,,https://i.imgur.com/uLFynET.png,Butterfly,0,yes,control,1
2227505206,4/3/2019 01:24:15,False,4680835394,,4/3/2019 01:23:44,False,feca,1.0,45161091,VEN,,,190.77.44.97,yes,,https://i.imgur.com/uLFynET.png,Butterfly,0,yes,control,1
2227505206,4/3/2019 01:25:01,False,4680836872,,4/3/2019 01:23:42,False,neodev,1.0,43650017,VEN,25,Caracas,186.94.206.222,yes,,https://i.imgur.com/uLFynET.png,Butterfly,0,yes,control,1
2227505207,4/3/2019 01:23:38,False,4680834064,,4/3/2019 01:23:27,False,neodev,1.0,44681831,VEN,,,201.210.222.106,yes,,https://i.imgur.com/dZtaknj.png,Butterfly,0,yes,control,1
2227505207,4/3/2019 01:24:15,False,4680835399,,4/3/2019 01:23:44,False,feca,1.0,45161091,VEN,,,190.77.44.97,yes,,https://i.imgur.com/dZtaknj.png,Butterfly,0,yes,control,1
2227505207,4/3/2019 01:25:01,False,4680836851,,4/3/2019 01:23:42,False,neodev,1.0,43650017,VEN,25,Caracas,186.94.206.222,yes,,https://i.imgur.com/dZtaknj.png,Butterfly,0,yes,control,1
2227505208,4/3/2019 01:23:53,False,4680834634,,4/3/2019 01:23:40,False,neodev,1.0,44681831,VEN,,,201.210.222.106,yes,,https://i.imgur.com/SocKdXk.png,Butterfly,0,yes,control,1
2227505208,4/3/2019 01:24:07,False,4680835112,,4/3/2019 01:23:48,False,neodev,1.0,36985538,VEN,,,186.93.114.206,yes,,https://i.imgur.com/SocKdXk.png,Butterfly,0,yes,control,1
2227505208,4/3/2019 01:24:32,False,4680835885,,4/3/2019 01:23:52,False,neodev,1.0,44058261,VEN,,,190.206.195.19,yes,,https://i.imgur.com/SocKdXk.png,Butterfly,0,yes,control,1
2227505209,4/3/2019 01:23:53,False,4680834641,,4/3/2019 01:23:40,False,neodev,1.0,44681831,VEN,,,201.210.222.106,yes,,https://i.imgur.com/yeO7swk.png,Butterfly,0,yes,control,1
2227505209,4/3/2019 01:24:07,False,4680835120,,4/3/2019 01:23:48,False,neodev,1.0,36985538,VEN,,,186.93.114.206,yes,,https://i.imgur.com/yeO7swk.png,Butterfly,0,yes,control,1
2227505209,4/3/2019 01:24:32,False,4680835889,,4/3/2019 01:23:52,False,neodev,1.0,44058261,VEN,,,190.206.195.19,yes,,https://i.imgur.com/yeO7swk.png,Butterfly,0,yes,control,1
2227505210,4/3/2019 01:23:53,False,4680834630,,4/3/2019 01:23:40,False,neodev,1.0,44681831,VEN,,,201.210.222.106,yes,,https://i.imgur.com/Kk0jhJf.png,Butterfly,0,yes,control,1
2227505210,4/3/2019 01:24:07,False,4680835116,,4/3/2019 01:23:48,False,neodev,1.0,36985538,VEN,,,186.93.114.206,yes,,https://i.imgur.com/Kk0jhJf.png,Butterfly,0,yes,control,1
2227505210,4/3/2019 01:24:32,False,4680835893,,4/3/2019 01:23:52,False,neodev,1.0,44058261,VEN,,,190.206.195.19,yes,,https://i.imgur.com/Kk0jhJf.png,Butterfly,0,yes,control,1
2227505211,4/3/2019 01:23:53,False,4680834625,,4/3/2019 01:23:40,False,neodev,1.0,44681831,VEN,,,201.210.222.106,yes,,https://i.imgur.com/Gz624M8.png,Butterfly,0,yes,control,1
2227505211,4/3/2019 01:24:07,False,4680835128,,4/3/2019 01:23:48,False,neodev,1.0,36985538,VEN,,,186.93.114.206,yes,,https://i.imgur.com/Gz624M8.png,Butterfly,0,yes,control,1
2227505211,4/3/2019 01:24:32,False,4680835898,,4/3/2019 01:23:52,False,neodev,1.0,44058261,VEN,,,190.206.195.19,yes,,https://i.imgur.com/Gz624M8.png,Butterfly,0,yes,control,1
2227505212,4/3/2019 01:24:36,False,4680836019,,4/3/2019 01:24:00,False,neodev,1.0,45131917,VEN,25,Caracas,201.243.196.131,no,,https://i.imgur.com/0TURv9h.png,Frog,0,yes,control,0
2227505212,4/3/2019 01:24:47,False,4680836376,,4/3/2019 01:23:55,False,neodev,1.0,44681831,VEN,,,201.210.222.106,no,,https://i.imgur.com/0TURv9h.png,Frog,0,yes,control,0
2227505212,4/3/2019 01:24:59,False,4680836776,,4/3/2019 01:24:02,False,clixsense,0.9167,44101988,IND,10,Ladwa,49.32.59.102,yes,,https://i.imgur.com/0TURv9h.png,Frog,0,yes,control,1
2227505213,4/3/2019 01:24:36,False,4680836032,,4/3/2019 01:24:00,False,neodev,1.0,45131917,VEN,25,Caracas,201.243.196.131,yes,,https://i.imgur.com/10fW0Rr.png,Scorpion,0,yes,control,1
2227505213,4/3/2019 01:24:47,False,4680836370,,4/3/2019 01:23:55,False,neodev,1.0,44681831,VEN,,,201.210.222.106,yes,,https://i.imgur.com/10fW0Rr.png,Scorpion,0,yes,control,1
2227505213,4/3/2019 01:24:59,False,4680836781,,4/3/2019 01:24:02,False,clixsense,0.9167,44101988,IND,10,Ladwa,49.32.59.102,yes,,https://i.imgur.com/10fW0Rr.png,Scorpion,0,yes,control,1
