_worker_id,score,_channel,_trust,_country,_region,_city,_ip,treatment
44101988,0.9,clixsense,0.9167,IND,10,Ladwa,49.32.59.102,control
44058261,0.8666666666666667,neodev,1.0,VEN,,,190.206.195.19,control
45131917,0.9636363636363636,neodev,1.0,VEN,25,Caracas,201.243.196.131,control
44681831,0.9666666666666667,neodev,1.0,VEN,,,201.210.222.106,control
45186503,0.8666666666666667,neodev,0.9,VEN,15,Bachaquero,200.93.112.211,control
45161091,0.95,feca,1.0,VEN,,,190.77.44.97,control
43650017,0.92,neodev,1.0,VEN,25,Caracas,186.94.206.222,control
36985538,0.85,neodev,1.0,VEN,,,186.93.114.206,control
45158923,0.8222222222222222,feca,1.0,ESP,29,Madrid,83.46.37.129,control
44749466,0.9166666666666666,neodev,1.0,VEN,,,186.95.231.2,control
45180140,0.8833333333333333,feca,0.75,EGY,11,Cairo,41.69.48.196,control
36143603,1.0,eup_slw,1.0,TUR,,,176.88.198.138,control
44678667,0.9333333333333333,neodev,1.0,VEN,,,201.210.223.159,control
45171183,0.72,feca,1.0,COL,34,Bogota,179.51.109.34,control
39661164,0.96,neodev,1.0,VEN,,,186.90.174.20,control
45189211,0.7,feca,1.0,VEN,25,Caracas,201.210.249.87,control
45156824,0.95,feca,1.0,HRV,21,Zagreb,93.136.107.203,control
35747808,1.0,clixsense,1.0,VEN,,,200.109.200.231,control
41841415,0.7,neodev,1.0,VEN,19,Carúpano,190.206.252.252,control
45192770,0.8571428571428571,clixsense,1.0,VEN,25,Caracas,186.167.243.219,control
41347559,0.95,clixsense,1.0,VEN,,,186.90.174.20,control
45155677,0.95,feca,1.0,VEN,07,Valencia,190.202.185.192,control
43671265,0.85,neodev,1.0,VEN,,,186.90.196.247,control
45181825,0.9333333333333333,feca,1.0,VEN,,,190.76.250.207,control
45204422,0.9,feca,1.0,COL,,,186.115.70.60,control
43692556,0.95,neodev,1.0,VEN,25,Caracas,186.90.189.8,control
45065671,0.7333333333333333,clixsense,1.0,VEN,02,Barcelona,190.207.64.202,control
44475220,0.8,neodev,1.0,VEN,02,Barcelona,190.207.65.239,control
36957773,1.0,neodev,1.0,ARG,05,Cordoba,181.28.7.100,control
45184039,0.7,feca,0.5,EGY,11,Cairo,197.49.172.19,control
44845129,1.0,neodev,1.0,CHL,12,Santiago,190.160.11.30,control
45173060,0.9,clixsense,1.0,VEN,25,Caracas,186.167.248.116,control
45159721,1.0,feca,1.0,VEN,19,Agua Fría,190.198.245.10,control
45196638,1.0,clixsense,1.0,VEN,25,Caracas,186.93.74.217,control
44223122,1.0,neodev,1.0,VEN,25,Caracas,201.210.254.140,control
43690212,1.0,neodev,1.0,VEN,16,Maturín,190.77.220.190,control
45162371,0.7,feca,1.0,USA,FL,Miami,23.27.45.175,control
45189901,0.8,feca,1.0,VEN,25,Caracas,186.167.245.111,control
38661505,1.0,neodev,1.0,VEN,15,San Antonio De Los Altos,181.17.1.97,control
45178163,1.0,feca,1.0,VEN,,,190.201.29.248,control
6591664,1.0,clixsense,1.0,MEX,09,Mexico,189.236.113.116,control
45205328,1.0,feca,1.0,VEN,25,Caracas,190.201.153.158,control
