_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,please_select_the_sentiment_feeling_of_the_product_review,please_select_the_sentiment_feeling_of_the_product_review:confidence,1,label,please_select_the_sentiment_feeling_of_the_product_review_gold,text,this_is_a_lion
2216121972,false,finalized,3,3/26/2019 02:33:59,0,1.0,,0,,So there is no way for me to plug it in here in the US unless I go by a converter.,
2216121973,false,finalized,3,3/26/2019 02:33:59,1,1.0,,1,,"Good case, Excellent value.",
2216121974,false,finalized,3,3/26/2019 02:33:59,1,1.0,,1,,Great for the jawbone.,
2216121975,false,finalized,3,3/26/2019 02:33:59,0,1.0,,0,,Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,
2216121976,false,finalized,3,3/26/2019 02:51:28,1,1.0,,1,,The mic is great.,
2216121977,false,finalized,3,3/26/2019 02:51:28,0,0.6667,,0,,I have to jiggle the plug to get it to line up right to get decent volume.,
2216121978,false,finalized,3,3/26/2019 02:51:28,1,0.6667,,0,,"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",
2216121979,false,finalized,3,3/26/2019 02:51:28,1,1.0,,1,,If you are Razr owner...you must have this!,
2216121980,false,finalized,3,3/26/2019 03:36:22,0,1.0,,0,,"Needless to say, I wasted my money.",
2216121981,false,finalized,3,3/26/2019 03:36:22,0,1.0,,0,,What a waste of money and time!.,
2216121982,false,finalized,3,3/26/2019 03:36:22,1,1.0,,1,,And the sound quality is great.,
2216121983,false,finalized,3,3/26/2019 03:36:22,1,1.0,,1,,He was very impressed when going from the original battery to the extended battery.,
2216121984,false,finalized,3,3/26/2019 03:23:58,0,1.0,,0,,If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,
2216121985,false,finalized,3,3/26/2019 03:23:58,1,1.0,,1,,Very good quality though,
2216121986,false,finalized,3,3/26/2019 03:23:58,0,1.0,,0,,"The design is very odd, as the ear ""clip"" is not very comfortable at all.",
2216121987,false,finalized,3,3/26/2019 03:23:58,1,1.0,,1,,Highly recommend for any one who has a blue tooth phone.,
2216121988,false,finalized,3,3/26/2019 03:27:18,0,0.6667,,0,,I advise EVERYONE DO NOT BE FOOLED!,
2216121989,false,finalized,3,3/26/2019 03:27:18,1,1.0,,1,,So Far So Good!.,
2216121990,false,finalized,3,3/26/2019 03:27:18,1,1.0,,1,,Works great!.,
2216121991,false,finalized,3,3/26/2019 03:27:18,0,0.6667,,0,,It clicks into place in a way that makes you wonder how long that mechanism would last.,
2216121992,false,finalized,3,3/26/2019 03:35:00,0,1.0,,0,,"I went on Motorola's website and followed all directions, but could not get it to pair again.",
2216121993,false,finalized,3,3/26/2019 03:35:00,1,1.0,,1,,I bought this to use with my Kindle Fire and absolutely loved it!,
2216121994,false,finalized,3,3/26/2019 03:35:00,0,1.0,,0,,The commercials are the most misleading.,
2216121995,false,finalized,3,3/26/2019 03:35:00,1,0.6667,,1,,I have yet to run this new battery below two bars and that's three days without charging.,
2216121996,false,finalized,3,3/26/2019 03:37:20,0,1.0,,0,,I bought it for my mother and she had a problem with the battery.,
2216121997,false,finalized,3,3/26/2019 03:37:20,1,1.0,,1,,Great Pocket PC / phone combination.,
2216121998,false,finalized,3,3/26/2019 03:37:20,1,1.0,,1,,I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,
2216121999,false,finalized,3,3/26/2019 03:37:20,0,1.0,,0,,I didn't think that the instructions provided were helpful to me.,
2216122000,false,finalized,3,3/26/2019 03:43:49,0,1.0,,0,,People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,
2216122001,false,finalized,3,3/26/2019 03:43:49,0,1.0,,0,,Doesn't hold charge.,
2216122002,false,finalized,3,3/26/2019 03:43:49,0,0.6667,,0,,"This is a simple little phone to use, but the breakage is unacceptible.",
2216122003,false,finalized,3,3/26/2019 03:43:49,1,1.0,,1,,This product is ideal for people like me whose ears are very sensitive.,
2216122004,false,finalized,3,3/26/2019 04:21:04,0,0.6667,,0,,It is unusable in a moving car at freeway speed.,
2216122005,false,finalized,3,3/26/2019 04:21:04,0,1.0,,0,,I have two more years left in this contract and I hate this phone.,
2216122006,false,finalized,3,3/26/2019 04:21:04,1,0.6667,,1,,Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,
2216122007,false,finalized,3,3/26/2019 04:21:04,0,0.6667,,0,,You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,
2216122008,false,finalized,3,3/26/2019 03:57:44,1,1.0,,1,,It has kept up very well.,
2216122009,false,finalized,3,3/26/2019 03:57:44,0,1.0,,0,,Poor Talk Time Performance.,
2216122010,false,finalized,3,3/26/2019 03:57:44,1,1.0,,1,,The case is great and works fine with the 680.,
2216122011,false,finalized,3,3/26/2019 03:57:44,0,1.0,,0,,worthless product.,
2216122012,false,finalized,3,3/26/2019 04:06:40,1,1.0,,1,,"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",
2216122013,false,finalized,3,3/26/2019 04:06:40,0,1.0,,0,,I was not impressed by this product.,
